category_ref,name
1,action and adventure
2,poetry
3,historical fiction
4,education and teaching
5,other
6,romance
7,journalism
11,arts and culture
12,biographies
13,blogging
14,business and management
15,chicklit
16,classics
17,fantasy
18,fanfiction
19,general fiction
20,general non-fiction
21,health and food
22,humour
23,mystery and crime
24,pets and animals
26,religion and spirituality
27,science fiction
28,sciences
29,sports
30,teen and young adult
31,thriller and horror
32,travel
33,short stories
